unnamed: 0,coin_ticker,received_money,sold_coins,role_of_token,category,goal,total_tokens,interest,fundraising_goal,start_end_date_coin_sell,ico_token_price,received_money.1,end_date,token_type,available_for_token_sale,min_max_personal_cap,whitelist,accepts,token_issue,cant_participate,end_date_clean,end_date_parsed,ico_successful,name_std,symbol_std
5594,WiFi Map,1700000.0,"$1,700,000 (100%) ",Utility,Platform,1700000.0,"1,000,000,000",Not Rated,500000.0,30 Mar – 1 Apr, 1 WIFI = 0.025 USD ,1700000.0,Ended: 1 Apr 2023 ,Polygon,"11,4%",,,USDT,,,1 Apr 2023,2023-04-01,1,wifimap,wifimap
5595,Coniun,538000.0,"$700,000 (77%) ",Utility,Blockchain Service,700000.0,"100,000,000",Not Rated,315000.0,30 Mar – 31 Mar, 1 CONI = 0.045 USD ,538000.0,Ended: 31 Mar 2023 ,ERC20,19%,,,USDT,,,31 Mar 2023,2023-03-31,1,coniun,coniun
5596,Alaska Gold Rush,150000.0,,Utility,Gaming,,"1,000,000,000",Not Rated,100000.0,29 Mar – 30 Mar, 1 CARAT = 0.03 USD ,150000.0,Ended: 30 Mar 2023 ,BEP-20,30%,,,USDT,,,30 Mar 2023,2023-03-30,1,alaskagoldrush,alaskagoldrush
5597,ARTT Network,225000.0,"$230,000 (100%) ",Utility,Platform,230000.0,"2,000,000,000",Not Rated,100000.0,27 Mar – 30 Mar, 1 ARTT = 0.1 USD ,225000.0,Ended: 30 Mar 2023 ,BEP-20,,,,USDT,,,30 Mar 2023,2023-03-30,1,arttnetwork,arttnetwork
5598,NuriTopia,,,Utility,Platform,,"5,000,000,000",Not Rated,120000.0,23 Mar – 24 Mar, 1 NBLU = 0.015 USD ,,Ended: 24 Mar 2023 ,BEP-20,8%,,,USDT,,,24 Mar 2023,2023-03-24,0,nuritopia,nuritopia
5599,Arbitrum,123700000.0,,Utility,Blockchain Service,,"10,000,000,000","
Very High ",,24 Jun – 23 Mar,,123700000.0,Ended: 23 Mar 2023 ,ERC20,,,,USDT,,,23 Mar 2023,2023-03-23,0,arbitrum,arbitrum
5600,Mintlayer,5200000.0,,Utility,DeFi,,"400,000,000",Not Rated,100000.0,22 Mar – 23 Mar, 1 ML = 0.25 USD ,5200000.0,Ended: 23 Mar 2023 ,ERC20,"33,77%",,,USDT,,,23 Mar 2023,2023-03-23,1,mintlayer,mintlayer
5601,OVO NFT Platform,,,Utility,Platform,,"240,000,000",Not Rated,150000.0,21 Mar – 22 Mar, 1 OVO = 0.16 USD ,,Ended: 22 Mar 2023 ,ERC20,"18,75%",,,USDT,,,22 Mar 2023,2023-03-22,0,ovonftplatform,ovonftplatform
5602,Space ID,12500000.0,,Utility,Blockchain Service,,"2,000,000,000",Not Rated,2500000.0,17 Mar – 22 Mar, 1 ID = 0.025 USD ,12500000.0,Ended: 22 Mar 2023 ,BEP-20,,,,USDT,,,22 Mar 2023,2023-03-22,1,spaceid,spaceid
5603,Minima,2500000.0,"$4,500,000 (56%) ",Utility,Blockchain,4500000.0,"60,000,000",Not Rated,4500000.0,14 Feb – 21 Mar, 1 WMINIMA = 0.3 USD ,2500000.0,Ended: 21 Mar 2023 ,ERC20,6%,,,USDT,,,21 Mar 2023,2023-03-21,0,minima,minima
5604,NeoCortexAI,860000.0,"$860,000 (100%) ",Utility,Platform,860000.0,"1,000,000,000",Not Rated,275000.0,13 Mar – 20 Mar, 1 CORAI = 0.005 USD ,860000.0,Ended: 20 Mar 2023 ,BEP-20,"20,5%",,,USDT,,,20 Mar 2023,2023-03-20,1,neocortexai,neocortexai
5605,InteractWith,1620000.0,"$1,620,000 (100%) ",Utility,Blockchain Service,1620000.0,"100,000,000",Not Rated,825000.0,15 Mar – 19 Mar, 1 INTER = 0.15 USD ,1620000.0,Ended: 19 Mar 2023 ,ERC20,13%,,,USDT,,,19 Mar 2023,2023-03-19,1,interactwith,interactwith
5606,Honeyland,230000.0,,Utility,Gaming,,"1,000,000,000",Not Rated,220500.0,14 Mar – 18 Mar, 1 HXD = 0.035 USD ,230000.0,Ended: 18 Mar 2023 ,Solana,23%,,,USDT,,,18 Mar 2023,2023-03-18,1,honeyland,honeyland
5607,OpiPets,6900000.0,"$6,900,000 (100%) ",Utility,Gaming,6900000.0,"500,000,000",Not Rated,2400000.0,4 Mar – 18 Mar, 1 OPIP = 0.12 USD ,6900000.0,Ended: 18 Mar 2023 ,BEP-20,14%,,,USDT,,,18 Mar 2023,2023-03-18,1,opipets,opipets
